OBJECTID,GlobalID,idInterruption,panneMajeure,geometry,timestamp
497652,50f3eba2-1311-4679-aa80-8d7ce18231af,LAV-I-17687-1,1,POINT (-75.416707447584 45.5554614634301),2023-04-06 09:52:13.753041
497654,5d1c47dc-1349-4a92-b8cd-075a8f8bd263,LAV-I-18472-1,1,POINT (-74.7942222886978 45.663241143345),2023-04-06 09:52:13.753041
497657,8f9c9311-698c-40fb-8c79-80cb9761b7a5,LAV-I-18195-1,1,POINT (-76.5737023280737 45.5749232510334),2023-04-06 09:52:13.753041
497658,00225fe0-aab7-48ae-a438-6e8e7b46924f,LAV-I-18157-1,1,POINT (-75.482145191893 45.5783613931089),2023-04-06 09:52:13.753041
497665,0834d766-4b2c-47fa-9008-c283ac59d0eb,LAV-I-18089-1,1,POINT (-75.4504238250978 45.5567156641671),2023-04-06 09:52:13.753041
497667,44b8383c-04e6-4555-a4f1-28dd760120ce,LAV-I-18429-1,1,POINT (-74.7289363169163 45.7158904809132),2023-04-06 09:52:13.753041
497672,a2b73d76-f5bb-499e-ad6f-694ca0e8a3ce,LAV-I-17503-1,1,POINT (-75.4792548549615 45.5303094511923),2023-04-06 09:52:13.753041
497675,0a7da9c6-2df4-405d-832f-a9e95b2fddc0,LAV-I-17461-1,1,POINT (-75.4592050120846 45.5325570105475),2023-04-06 09:52:13.753041
497676,6847dcc8-1f35-4aff-a86a-e220bb6d261e,LAV-I-17593-1,1,POINT (-75.394195195416 45.5440899854),2023-04-06 09:52:13.753041
497678,7a9e9b0f-f04e-4ea7-bda2-a9bbeca4298b,LAV-I-17920-1,1,POINT (-74.5542061772394 45.6216557753381),2023-04-06 09:52:13.753041
497680,d73f7a9e-dba5-46ed-82b2-c070aeefebdf,LAV-I-18101-1,1,POINT (-75.4252930012633 45.5766352822179),2023-04-06 09:52:13.753041
497681,473a16f3-ade6-45a9-817b-5875d14fc430,LAV-I-18447-1,1,POINT (-76.4023219678407 45.8903905293325),2023-04-06 09:52:13.753041
497683,933e6798-c654-415d-b3a9-fa413ccd6a4c,LAV-I-17223-2,1,POINT (-76.6825975389651 45.8758399636016),2023-04-06 09:52:13.753041
497687,73a8b4b7-0692-4cdf-a265-f57a382451d8,LAV-I-17813-1,1,POINT (-73.8674478177177 45.6790252637815),2023-04-06 09:52:13.753041
497694,a229c2f6-e2cf-4587-8716-4b363c4a65bb,LAV-I-17223-1,1,POINT (-76.7595477849735 45.8688233069969),2023-04-06 09:52:13.753041
497698,b67e0974-0a9a-4d96-8635-0c025da1c164,LAV-I-18133-1,1,POINT (-73.8675752650419 45.6733653504428),2023-04-06 09:52:13.753041
497706,8f87948c-f708-4406-9a15-92c64460f0cb,LAV-I-17788-1,1,POINT (-75.0584094919564 45.8399964686232),2023-04-06 09:52:13.753041
497710,983d0171-c7ca-45d8-9f4d-d2b0a7ec6a58,LAV-I-17802-1,1,POINT (-75.1339292288793 45.8743197715187),2023-04-06 09:52:13.753041
497713,f7cf0340-b4d9-49f5-9441-f49c221d7e26,LAV-I-17812-1,1,POINT (-76.7432226056116 45.8350197627714),2023-04-06 09:52:13.753041
497714,24992e1f-f88f-42cb-bc9b-7183c7cfe362,LAV-I-17779-1,1,POINT (-76.6845325816872 45.7491071414033),2023-04-06 09:52:13.753041
497722,08c7227f-eec7-48a9-956c-09981ea4f53b,LAV-I-18406-1,1,POINT (-75.7370507720035 45.4400301575414),2023-04-06 09:52:13.753041
497723,5c9744a3-0e62-4e21-b898-a58a4b244fd8,LAV-I-18432-1,1,POINT (-75.7505249664305 45.4637141758512),2023-04-06 09:52:13.753041
497724,7d7eef89-1805-4bb1-991f-13b5ad5aefd5,LAV-I-18412-1,1,POINT (-75.7355215991322 45.4394820860922),2023-04-06 09:52:13.753041
497725,31da1eba-e0d2-498a-bf59-cbff87cc3d8a,LAV-I-18610-1,1,POINT (-75.7481334185524 45.459603718286),2023-04-06 09:52:13.753041
497726,e1a353c6-2e56-4bf2-abc1-d42c518d3878,LAV-I-18399-1,1,POINT (-75.7340886572076 45.4408046114233),2023-04-06 09:52:13.753041
497728,dd43c679-2d53-4150-99e4-f4d3d8eb8bc3,LAV-I-18611-1,1,POINT (-75.7556343208697 45.4512835540129),2023-04-06 09:52:13.753041
497732,b2dfab60-abd6-448b-8373-e3cdd9da4ecc,LAV-I-17957-1,1,POINT (-75.6267876128902 45.4854124921928),2023-04-06 09:52:13.753041
497733,30457ce8-fcf7-4cf4-b2f9-1b51a6e1e78a,LAV-I-17903-1,1,POINT (-75.6252665067218 45.4811927608693),2023-04-06 09:52:13.753041
497738,9e694822-9dba-46e7-a4aa-fb3e357eb6d1,LAV-I-17889-1,1,POINT (-75.6839380357616 45.4711789900217),2023-04-06 09:52:13.753041
497739,67191a60-f5fc-4195-bfd8-0d47a8f54a10,LAV-I-17433-1,1,POINT (-75.6573025589336 45.505308379702),2023-04-06 09:52:13.753041
497741,8d49ef30-dcbc-41d0-b31e-d6fe1006bb95,LAV-I-17936-1,1,POINT (-75.6600119498896 45.4880568169411),2023-04-06 09:52:13.753041
497749,f067f119-4df0-4e43-bb12-b35d212f6173,LAV-I-18451-1,1,POINT (-75.8464771453781 45.4024364653286),2023-04-06 09:52:13.753041
497753,aa19b05b-8e1e-43de-bad8-6ffb3e8719a3,LAV-I-18459-1,1,POINT (-75.8655813359031 45.4057072092462),2023-04-06 09:52:13.753041
497755,654193a0-8f08-48fa-b8eb-a3a39ac7540c,LAV-I-17533-1,1,POINT (-75.8778760955328 45.4307107140684),2023-04-06 09:52:13.753041
497757,8ef88763-1de1-4fbf-9cd5-ac2062dee952,LAV-I-17500-1,1,POINT (-75.8759867306258 45.4256065085029),2023-04-06 09:52:13.753041
497763,f949e655-8478-4b1f-8155-5ad917f1905e,LAV-I-18182-1,1,POINT (-75.8373409111626 45.4184462707913),2023-04-06 09:52:13.753041
497768,dd86a67b-0b34-4b21-ad05-d90e0ceccc5d,LAV-I-17587-1,1,POINT (-75.9355190590347 45.4687774633285),2023-04-06 09:52:13.753041
497772,9c43339b-4d98-40b1-a502-f7e2bf79a407,LAV-I-18135-1,1,POINT (-75.8137727375665 45.4030810004194),2023-04-06 09:52:13.753041
497773,3ca8bb06-9467-418c-878a-5b6683a3f4c5,LAV-I-17521-1,1,POINT (-75.9584497921302 45.5092856991223),2023-04-06 09:52:13.753041
497777,c45b8877-e731-4435-b5e1-d8f1fbb078af,LAV-I-17527-1,1,POINT (-75.8718880026486 45.4152564809882),2023-04-06 09:52:13.753041
497779,31e907a7-3a07-4246-a943-a02f3d24b552,LAV-I-18097-1,1,POINT (-75.9603939430154 45.496687246048),2023-04-06 09:52:13.753041
497785,cf735777-46e0-4abf-a5d2-8578abdee050,LAV-I-18385-1,1,POINT (-75.7900863744813 45.4077032363977),2023-04-06 09:52:13.753041
497787,919a1aa4-6b61-466b-9c0a-5f383ed50034,LAV-I-17995-1,1,POINT (-75.9323140387327 45.7629292540091),2023-04-06 09:52:13.753041
497789,63d63bdd-25b3-4c17-97ce-b4e3d494f986,LAV-I-17681-1,1,POINT (-73.8131202706691 45.6646462500502),2023-04-06 09:52:13.753041
497804,fe93a02a-b4d1-4bb0-b6f6-30c15cd2bb08,LAV-I-17449-1,1,POINT (-75.7855935137959 45.5044180390047),2023-04-06 09:52:13.753041
497809,eea3d455-bdec-4426-9cb5-e07a6f9071c7,LAV-I-17508-1,1,POINT (-75.7381302157697 45.4899387824606),2023-04-06 09:52:13.753041
497814,77048da1-682a-49b9-835b-96c6a621fcc7,LAV-I-17415-1,1,POINT (-75.8287215560607 45.5814137740121),2023-04-06 09:52:13.753041
497815,7b933288-2268-4d62-a8a2-35e3377f5986,LAV-I-17926-1,1,POINT (-75.7979379822625 45.5429566796469),2023-04-06 09:52:13.753041
497816,cfec22fc-3b1f-433a-8f96-7192f1757bea,LAV-I-17481-1,1,POINT (-75.7772557219788 45.5283657999705),2023-04-06 09:52:13.753041
497830,e9bc09b5-c1d1-4e68-afef-41ba8f2de40c,LAV-I-17406-1,0,POINT (-75.6507421981576 45.4927909957272),2023-04-06 09:52:13.753041
497831,c09e40be-f691-4eb5-af4c-ac49b972bcbc,NOR-I-13435-1,1,POINT (-73.5726248722387 45.4473220259953),2023-04-06 09:52:13.753041
497832,5a5c9ce0-88bb-41db-8c1c-8029ab70bdeb,NOR-I-13441-1,1,POINT (-73.5723769422997 45.4504353288271),2023-04-06 09:52:13.753041
497833,a6b5f0ef-264b-4063-b8b9-bdbe4fb99248,NOR-I-13442-1,1,POINT (-73.57234756329 45.4508035036921),2023-04-06 09:52:13.753041
497834,8bcc8a01-12d0-4a83-9658-d453c556cc50,NOR-I-13436-1,1,POINT (-73.5777548573902 45.4463726697939),2023-04-06 09:52:13.753041
497836,b1b31368-7b0d-4f07-9569-d817980179de,NOR-I-13599-1,1,POINT (-73.6123905286227 45.4343224217691),2023-04-06 09:52:13.753041
497838,c8a1240c-2316-4fd6-8af4-362ca73f4249,NOR-I-13438-1,1,POINT (-73.5792929031951 45.4469304456266),2023-04-06 09:52:13.753041
497839,59276d68-f5e3-4ea4-8d3d-2a8d8ea9c4af,NOR-I-13444-1,1,POINT (-73.5777674183651 45.4475350652102),2023-04-06 09:52:13.753041
